Serial,id,title,description,tatik,supplier code,publication locatio ,name of publication,number of pages,year of hebrew public,year of publication,price in $,price in NIS,date of price update,discount,mastav,status,name of author,misc,name at eng,price nis no vat,code publisher,code of publishing,outhor name ,,,מחיר קבוע
100063,1,סולו,רומן על סופר יהודי ופטריוט מצרי בימי פרשת דרייפוס,Solo,7502,"ת""א",ספרית פועלים,184,,1998,16,52,1998-03-30 0:00:00,30,965-04-2347-8,,"בלס,שמעון",,,,,,"Ballas,S.",,FALSE,FALSE
100064,81,הגדה של פסח-חוברת מבוארת ומאויירת,,Hagadah Shel Pesah,7502,,,32,,1998,5,15,1998-03-30 0:00:00,30,,,,,,,,,,,FALSE,FALSE
100065,42,שיחות עם אריה עמית,על המצב החברתי-פשיעתי בישראל; שיחות עם מפקד משטרת ירושלים לשעבר,Sihot Im Arie Amit,7502,"ת""א",ספרית פועלים,168,,1998,16,52,1998-03-30 0:00:00,30,965-04-2345-1,,"משגב,חיים",,,,,,"Migav,H.",,FALSE,FALSE
100066,120,שביל ישראל,"מסלולי טיול ברחבי ארץ-ישראל, מלווים ציורים של יעקב בוצ'ן; תבנית אלבומית",Shevil Israel,7102,ירושלים,כרטא,160,,1998,46,150,1998-03-30 0:00:00,30,965-220-401-3,,"בוצ'ן,יעקב; בהשתתפות חזי מרוז",,,,,,"Buchan,Y.",,FALSE,FALSE
100067,32,תחיינה העצמות האלה,"סיפורי גבורת-נפש של יהודים בני זמנינו אשר התעלו מתהומות יאוש,לאחר השואה",Tihyena Haatsamot Ha'ele,7910,בני-ברק,גנזך קידוש השם,384,,1998,24,57,1998-03-30 0:00:00,25,,,"לב,ברוך","המחבר: ת""ד 2143, חצור הגלילית",,,,,"Lev,B.",,FALSE,FALSE
100069,42,הזמנה לחתונה,"שיחות לקראת הנישואין; מעין ספר הדרכה לכלות, בעיקר לחילוניות",Hazmana Lehatuna,8105,בית אל,דור,86,,1998,11,36,1998-03-30 0:00:00,30,,,"אלון,אמונה",,,,,,"Elon,Emuna",,FALSE,FALSE
100070,10,"שירת ישראל בתימן, כרך א",ממבחר השירה השבזית-תימנית; תבנית אלבומית; עם ביאורים והערות,"Shirat Israel BeTeman, vol. 1",6009,קרית אונו,"מכון משנת הרמב""ם",542,,1998,68,,1998-03-30 0:00:00,0,,,"הלוי,רצון",,,95,,,"Halevi,Ratson",,FALSE,FALSE
100071,48,The Determinants of Separations from Employment,"Israel,1969-1992 (Discussion Paper No.98.02)",The Determinants of Separations from Employment,7257,Jerusalem,,38,,1998,12,,1998-03-30 0:00:00,,,,,,,,,,Beenstock&Klinov,,FALSE,FALSE
100072,80,Jews And Medicine,"Religion,Culture,Science;Based on the exhibit at Beth Hatefutsot",Jews And Medicine,6108,Philadelphia-Jerusalem,,275,,1995,66,,1998-03-30 0:00:00,0,0-8276-0644-3,,,,,128,,,"Berger,Natalya (ed.)",,FALSE,FALSE
100073,81,זה היום עשה ה',לקט דרשות ומאמרים ליום העצמאות,Ze Hayom Asa Hashem,8105,ירושלים,ארז,75,,1998,13,,1998-03-31 0:00:00,,,,"הרב שאול ישראלי זצ""ל",,,15,,,"Israeli,Shaul,Rabbi",,FALSE,FALSE
100074,100,"מלילות-מחקרים תורניים, כרך א'","מחקרים בהלכה ורפואה,חברה,נזיקין,שבת,בית-כנסת,הגנה ובטחון,אורחים;מעזבונו של הרב שמעון בירן הי""ד","Melilot-Mehkarim Toraniim,1",8105,קרית ארבע,מכון לרבני ישובים,443,,1997,34,,1998-03-31 0:00:00,,,,"לרמן,שמואל (עורך)","ת""ד 1613, קרית ארבע",,45,,,"Lerman,S. (ed.)",,FALSE,FALSE
100075,95,ספר שבות יצחק,"דיני מיקרוגל,דוד שמש,גרמא,חשמל; מפתחות",Sefer Shevut Itshak,7910,ירושלים,"ישיבת הר""ן",268,,1998,22,,1998-03-31 0:00:00,,,,"דרזי,יצחק","המחבר: זריצקי 4, רמות ד, י-ם,02-5861496",,30,,,"Drezi,Itshak",,FALSE,FALSE
100076,95,"משפטי התורה, א-ג",תשובות לשאלות אקטואליות בדיני ממונות ובין אדם לחברו,"Mishpete Hatora,1-3",7910,ירושלים,"מכון ללימוד חו""מ ואב""ע",954,,1998,90,,1998-03-31 0:00:00,,,,"שפיץ,צבי","רובין 10, רמות ד, י-ם",,120,,,"Shpits,Z.",,FALSE,FALSE
100077,90,"שערי תוספות- בבא קמא, פרק חמישי","ביאור ופירוש כל דיבורי התוספות לפרק ""שור שנגח את הפרה""; הערות,שאלות וסיכומים","Shaare Tosafot,B""K,Chapter 5",7910,ירושלים,"מכון ת""ם",233,,1998,28,,1998-03-31 0:00:00,,,,"אוקסנברג,דוד הכהן","המכון:02-5371332, המחבר: רח' הרב סורוצקין 51, ירושלים , 02-5386098",,37,,,"Oxenberg,D.Hakohen",,FALSE,FALSE
100078,100,ספר חמדה גנוזה - דברי חיים,"שיחות, הנהגות, קורות ועובדות של אב""ד קהילת צאנז מרן חיים הלברשטאם זצ""ל",Sefer Hemda Genuza-Divre Hayim,7910,ברוקלין,מכון חבת הקודש,180,,1998,22,,1998-03-31 0:00:00,,,,"הלברשטאם,סיני",00-1-718-851-8075,,30,,,"Halbershtam,Sinai",,FALSE,FALSE
100079,95,ספר תורת היחוד,דינים בהלכות ייחוד,Sefer Torat Hayihud,7910,אשדוד,המחבר,207,,1998,21,,1998-03-31 0:00:00,,,,"שוימר,מנחם מנדל","רח' רבי מאיר בעל הנס 28/11, אשדוד",,28,,,"Shvimer,M.M.",,FALSE,FALSE
100080,86,"ילקוט חמישאי על התורה, א-ה","לקט אמרות ופירושים בדרך פרד""ס, הנהגות ועובדות מגדולי ישראל, לפי סדר פרשת השבוע","Yalkut Hamishai Al Hatora, 1-5",7910,גדרה,"גמ""ח חמישאי",,,1998,150,,1998-03-31 0:00:00,,,,"חריף,משה ח.","הרב יששכר כריף, רח' יששכר 1, גדרה, 08-592257",,200,,,"Harif,Moshe H.",,FALSE,FALSE
100081,95,ספר מורשת משה,"שו""ת בארבעת חלקי השו""ע, וחידושים למקרא ולתלמוד מאת הרב משה מרצייאנו זצ""ל",Sefer Moreshet Moshe,7910,לוד,אורות יהדות המגרב,370,,1998,26,,1998-03-31 0:00:00,,,,"עמאר,משה (עורך ומהדיר)",08-9228444,,35,,,"Amar,Moshe (ed.)",,FALSE,FALSE
100082,60,ספר מאיר עיני חכמים,"עובדות והנהגות חייו של בעל ה""חפץ חיים"" ו""המשנה ברורה"" רבי ישראל מאיר הכהן מראדין, על-פי ראיונות אישיים ושיחות מיוחדות עם עדי ראיה ושמיעה",Sefer Meir Eine Hakhamim,7910,ירושלים,מכון מורשת הישיבות,478,,1998,52,,1998-03-31 0:00:00,,,,"מערכת ""מאיר עיני ישראל""","ת""ד 5158, י-ם",,70,,,,,FALSE,FALSE
100083,100,ספר יקרא דשבתא,"ענינים נוראים ממעלת השבת, לפי ליקוטי מוהר""ן קמא ושיחות הר""ן",Sefer Yikra Deshabta,7910,ירושלים,מכון תורת הנצח,438,,1998,26,,1998-03-31 0:00:00,,,,הרב נחמן מטשעהרין,"ת""ד 50022,י-ם",,35,,,Rw Nahman Mitshehrin,,FALSE,FALSE
